PowerPlant
Time,P[MW],G1-P[MW],G2-P[MW]
2023-01-07 18:30:00,46.21184407582357,23.105922037911785,23.105922037911785
2023-01-07 18:45:00,46.739703712347485,23.369851856173742,23.369851856173742
2023-01-07 19:00:00,46.960852125362536,23.480426062681268,23.480426062681268
2023-01-07 19:15:00,46.20306078547818,23.10153039273909,23.10153039273909
2023-01-07 19:30:00,38.642647973132476,19.321323986566238,19.321323986566238
2023-01-07 19:45:00,30.28958747206331,15.144793736031655,15.144793736031655
2023-01-07 20:00:00,24.304963755129215,12.152481877564608,12.152481877564608
2023-01-07 20:15:00,30.32755666611651,15.163778333058255,15.163778333058255
2023-01-07 20:30:00,38.85376742237995,19.426883711189976,19.426883711189976
2023-01-07 20:45:00,44.877726633342284,22.438863316671142,22.438863316671142
2023-01-07 21:00:00,45.77312308250407,22.886561541252036,22.886561541252036
